category,name,price,original_price,stock_status,url
Processor,Intel Core Ultra 5 245K Desktop Processor,22300.0,39999.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-5-245k-desktop-processor/
Processor,Intel Core Ultra 5 250K Plus Processor (BX80768250K),31500.0,43500.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-5-250k-plus-processor-bx80768250k/
Processor,Intel Core Ultra 5 250KF Plus Processor (BX80768250KF),28990.0,41100.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-5-250kf-plus-processor-bx80768250kf/
Processor,Intel Core Ultra 7 265K Desktop Processor,37250.0,56850.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-7-265k-desktop-processor/
Processor,Intel Core Ultra 7 270K Plus Desktop Processor ( BX80768270K),44500.0,49999.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-7-270k-plus-desktop-processor-bx80768270k/
Processor,Intel Core Ultra 9 285K Desktop Processor,61650.0,89000.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-9-285k-desktop-processor/
Motherboard,AsRock B760M Steel Legend Wifi Lga1700 Micro Atx Motherboard (B760M-Steel-Legend-WiFi),15999.0,22000.0,In Stock,https://www.pcstudio.in/product/asrock-b760m-steel-legend-wifi-lga1700-atx-motherboard/
Motherboard,ASRock Phantom Gaming X870E Nova WiFi AM5 ATX Motherboard (X870E-NOVA-WIFI),37500.0,50000.0,In Stock,https://www.pcstudio.in/product/asrock-phantom-gaming-x870e-nova-wifi-am5-atx-motherboard/
Motherboard,ASRock Phantom Gaming Z890 Nova WiFi LGA1851 ATX Motherboard (Z890-NOVA-WIFI),37500.0,55000.0,In Stock,https://www.pcstudio.in/product/asrock-phantom-gaming-z890-nova-wifi-lga1851-atx-motherboard/
Motherboard,ASRock Phantom Gaming Z890M Riptide WiFi LGA1851 Micro ATX Motherboard,27500.0,45000.0,In Stock,https://www.pcstudio.in/product/asrock-phantom-gaming-z890m-riptide-wifi-lga1851-micro-atx-motherboard/
Motherboard,AsRock TRX50 WS Amd Ryzen 7000 Eatx DDR5 sTR5 Threadripper Motherboard,82390.0,115000.0,In Stock,https://www.pcstudio.in/product/asrock-trx50-ws-amd-ryzen-7000-eatx-ddr5-str5-threadripper-motherboard/
Motherboard,ASRock X870 Pro RS WiFi AM5 ATX Motherboard,22600.0,30000.0,In Stock,https://www.pcstudio.in/product/asrock-x870-pro-rs-wifi-am5-atx-motherboard/
Motherboard,ASRock X870 Pro-A WiFi ATX DDR5 Motherboard,24900.0,36000.0,In Stock,https://www.pcstudio.in/product/asrock-x870-pro-a-wifi-atx-ddr5-motherboard/
Motherboard,ASRock X870 Steel Legend WiFi AM5 ATX Motherboard,26400.0,40000.0,In Stock,https://www.pcstudio.in/product/asrock-x870-steel-legend-wifi-am5-atx-motherboard/
Motherboard,ASRock X870E Taichi AM5 E-Atx Motherboard (X870E-TAICHI),49250.0,80000.0,In Stock,https://www.pcstudio.in/product/asrock-x870e-taichi-am5-e-atx-motherboard-x870e-taichi/
Motherboard,ASRock X870E Taichi Lite AM5 E-Atx Motherboard,42750.0,46300.0,In Stock,https://www.pcstudio.in/product/asrock-x870e-taichi-lite-am5-e-atx-motherboard/
Motherboard,Asrock Z790 Steel Legend Wifi Lga1700 Atx Motherboard (Z790 STEEL LEGEND WIFI),29100.0,49500.0,In Stock,https://www.pcstudio.in/product/asrock-z790-steel-legend-wifi-lga1700-atx-motherboard/
